split,condition,file,scenario_seed,U,K,C,Cclu,Dcol,sensing_radius_m,cluster_populations,initial_budgets,workload_multiplier,energy_multiplier,slot_duration_s
robustness,nominal,data/robustness/nominal/scenario_010.npz,124010,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_011.npz,124011,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_012.npz,124012,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_013.npz,124013,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_014.npz,124014,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_015.npz,124015,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_016.npz,124016,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_017.npz,124017,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_018.npz,124018,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_019.npz,124019,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_020.npz,124020,3,50,64,4,8,15.0,13;13;12;12,175.0;125.0;150.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_021.npz,124021,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_022.npz,124022,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_023.npz,124023,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_024.npz,124024,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_025.npz,124025,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_026.npz,124026,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_027.npz,124027,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_028.npz,124028,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_029.npz,124029,3,50,64,4,8,15.0,13;13;12;12,175.0;125.0;150.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_030.npz,124030,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_031.npz,124031,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_032.npz,124032,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_033.npz,124033,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_034.npz,124034,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_035.npz,124035,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_036.npz,124036,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_037.npz,124037,3,50,64,4,8,15.0,13;13;12;12,175.0;125.0;150.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_038.npz,124038,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_039.npz,124039,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_000.npz,124000,3,30,64,4,8,15.0,8;8;7;7,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_001.npz,124001,3,30,64,4,8,15.0,8;8;7;7,175.0;125.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_002.npz,124002,3,30,64,4,8,15.0,8;8;7;7,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_003.npz,124003,3,30,64,4,8,15.0,8;8;7;7,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_004.npz,124004,3,30,64,4,8,15.0,8;8;7;7,175.0;150.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_005.npz,124005,3,30,64,4,8,15.0,8;8;7;7,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_006.npz,124006,3,30,64,4,8,15.0,8;8;7;7,175.0;150.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_007.npz,124007,3,30,64,4,8,15.0,8;8;7;7,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_008.npz,124008,3,30,64,4,8,15.0,8;8;7;7,175.0;150.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_009.npz,124009,3,30,64,4,8,15.0,8;8;7;7,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_010.npz,124010,3,30,64,4,8,15.0,8;8;7;7,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_011.npz,124011,3,30,64,4,8,15.0,8;8;7;7,175.0;150.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_012.npz,124012,3,30,64,4,8,15.0,8;8;7;7,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_013.npz,124013,3,30,64,4,8,15.0,8;8;7;7,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_014.npz,124014,3,30,64,4,8,15.0,8;8;7;7,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_015.npz,124015,3,30,64,4,8,15.0,8;8;7;7,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_016.npz,124016,3,30,64,4,8,15.0,8;8;7;7,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_017.npz,124017,3,30,64,4,8,15.0,8;8;7;7,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_018.npz,124018,3,30,64,4,8,15.0,8;8;7;7,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_019.npz,124019,3,30,64,4,8,15.0,8;8;7;7,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_020.npz,124020,3,30,64,4,8,15.0,8;8;7;7,175.0;125.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_021.npz,124021,3,30,64,4,8,15.0,8;8;7;7,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_022.npz,124022,3,30,64,4,8,15.0,8;8;7;7,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_023.npz,124023,3,30,64,4,8,15.0,8;8;7;7,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_024.npz,124024,3,30,64,4,8,15.0,8;8;7;7,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_025.npz,124025,3,30,64,4,8,15.0,8;8;7;7,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_026.npz,124026,3,30,64,4,8,15.0,8;8;7;7,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_027.npz,124027,3,30,64,4,8,15.0,8;8;7;7,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_028.npz,124028,3,30,64,4,8,15.0,8;8;7;7,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_029.npz,124029,3,30,64,4,8,15.0,8;8;7;7,175.0;125.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_030.npz,124030,3,30,64,4,8,15.0,8;8;7;7,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_031.npz,124031,3,30,64,4,8,15.0,8;8;7;7,175.0;150.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_032.npz,124032,3,30,64,4,8,15.0,8;8;7;7,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_033.npz,124033,3,30,64,4,8,15.0,8;8;7;7,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_034.npz,124034,3,30,64,4,8,15.0,8;8;7;7,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_035.npz,124035,3,30,64,4,8,15.0,8;8;7;7,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_036.npz,124036,3,30,64,4,8,15.0,8;8;7;7,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_037.npz,124037,3,30,64,4,8,15.0,8;8;7;7,175.0;125.0;150.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_038.npz,124038,3,30,64,4,8,15.0,8;8;7;7,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_30,data/robustness/gu_30/scenario_039.npz,124039,3,30,64,4,8,15.0,8;8;7;7,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_000.npz,124000,3,70,64,4,8,15.0,18;18;17;17,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_001.npz,124001,3,70,64,4,8,15.0,18;18;17;17,175.0;125.0;150.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_002.npz,124002,3,70,64,4,8,15.0,18;18;17;17,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_003.npz,124003,3,70,64,4,8,15.0,18;18;17;17,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_004.npz,124004,3,70,64,4,8,15.0,18;18;17;17,175.0;150.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_005.npz,124005,3,70,64,4,8,15.0,18;18;17;17,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_006.npz,124006,3,70,64,4,8,15.0,18;18;17;17,175.0;150.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_007.npz,124007,3,70,64,4,8,15.0,18;18;17;17,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_008.npz,124008,3,70,64,4,8,15.0,18;18;17;17,175.0;150.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_009.npz,124009,3,70,64,4,8,15.0,18;18;17;17,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_010.npz,124010,3,70,64,4,8,15.0,18;18;17;17,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_011.npz,124011,3,70,64,4,8,15.0,18;18;17;17,175.0;150.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_012.npz,124012,3,70,64,4,8,15.0,18;18;17;17,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_013.npz,124013,3,70,64,4,8,15.0,18;18;17;17,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_014.npz,124014,3,70,64,4,8,15.0,18;18;17;17,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_015.npz,124015,3,70,64,4,8,15.0,18;18;17;17,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_016.npz,124016,3,70,64,4,8,15.0,18;18;17;17,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_017.npz,124017,3,70,64,4,8,15.0,18;18;17;17,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_018.npz,124018,3,70,64,4,8,15.0,18;18;17;17,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_019.npz,124019,3,70,64,4,8,15.0,18;18;17;17,150.0;175.0;125.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_020.npz,124020,3,70,64,4,8,15.0,18;18;17;17,175.0;125.0;150.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_021.npz,124021,3,70,64,4,8,15.0,18;18;17;17,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_022.npz,124022,3,70,64,4,8,15.0,18;18;17;17,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_023.npz,124023,3,70,64,4,8,15.0,18;18;17;17,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_024.npz,124024,3,70,64,4,8,15.0,18;18;17;17,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_025.npz,124025,3,70,64,4,8,15.0,18;18;17;17,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_026.npz,124026,3,70,64,4,8,15.0,18;18;17;17,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_027.npz,124027,3,70,64,4,8,15.0,18;18;17;17,150.0;125.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_028.npz,124028,3,70,64,4,8,15.0,18;18;17;17,125.0;150.0;175.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_029.npz,124029,3,70,64,4,8,15.0,18;18;17;17,175.0;125.0;150.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_030.npz,124030,3,70,64,4,8,15.0,18;18;17;17,125.0;175.0;150.0,1.0,1.0,1.0
robustness,gu_70,data/robustness/gu_70/scenario_031.npz,124031,3,70,64,4,8,15.0,18;18;17;17,175.0;150.0;125.0,1.0,1.0,1.0
